layer_idx,weight_name,weight_suffix,cosine_similarity
17,model.language_model.layers.17.mlp.down_proj.weight,down_proj.weight,0.110264
17,model.language_model.layers.17.self_attn.o_proj.weight,o_proj.weight,0.209626
18,model.language_model.layers.18.mlp.down_proj.weight,down_proj.weight,0.143476
18,model.language_model.layers.18.self_attn.o_proj.weight,o_proj.weight,0.15208
19,model.language_model.layers.19.mlp.down_proj.weight,down_proj.weight,0.026017
19,model.language_model.layers.19.self_attn.o_proj.weight,o_proj.weight,0.138575
20,model.language_model.layers.20.mlp.down_proj.weight,down_proj.weight,0.213885
20,model.language_model.layers.20.self_attn.o_proj.weight,o_proj.weight,-0.226183
21,model.language_model.layers.21.mlp.down_proj.weight,down_proj.weight,-0.270516
21,model.language_model.layers.21.self_attn.o_proj.weight,o_proj.weight,-0.211499
22,model.language_model.layers.22.mlp.down_proj.weight,down_proj.weight,0.173449
22,model.language_model.layers.22.self_attn.o_proj.weight,o_proj.weight,0.046028
23,model.language_model.layers.23.mlp.down_proj.weight,down_proj.weight,0.130959
23,model.language_model.layers.23.self_attn.o_proj.weight,o_proj.weight,0.166909
24,model.language_model.layers.24.mlp.down_proj.weight,down_proj.weight,0.102283
24,model.language_model.layers.24.self_attn.o_proj.weight,o_proj.weight,-0.164006
25,model.language_model.layers.25.mlp.down_proj.weight,down_proj.weight,-0.319443
25,model.language_model.layers.25.self_attn.o_proj.weight,o_proj.weight,0.337548
26,model.language_model.layers.26.mlp.down_proj.weight,down_proj.weight,0.076417
26,model.language_model.layers.26.self_attn.o_proj.weight,o_proj.weight,0.014029
27,model.language_model.layers.27.mlp.down_proj.weight,down_proj.weight,-0.000676
27,model.language_model.layers.27.self_attn.o_proj.weight,o_proj.weight,0.043731
28,model.language_model.layers.28.mlp.down_proj.weight,down_proj.weight,0.134259
28,model.language_model.layers.28.self_attn.o_proj.weight,o_proj.weight,-0.11562
29,model.language_model.layers.29.mlp.down_proj.weight,down_proj.weight,-0.108569
29,model.language_model.layers.29.self_attn.o_proj.weight,o_proj.weight,-0.110573
30,model.language_model.layers.30.mlp.down_proj.weight,down_proj.weight,-0.249434
30,model.language_model.layers.30.self_attn.o_proj.weight,o_proj.weight,-0.234592
31,model.language_model.layers.31.mlp.down_proj.weight,down_proj.weight,-0.354486
31,model.language_model.layers.31.self_attn.o_proj.weight,o_proj.weight,0.384319
32,model.language_model.layers.32.mlp.down_proj.weight,down_proj.weight,-0.050433
32,model.language_model.layers.32.self_attn.o_proj.weight,o_proj.weight,-0.106501
33,model.language_model.layers.33.mlp.down_proj.weight,down_proj.weight,-0.212959
33,model.language_model.layers.33.self_attn.o_proj.weight,o_proj.weight,-0.223792
34,model.language_model.layers.34.mlp.down_proj.weight,down_proj.weight,0.222711
34,model.language_model.layers.34.self_attn.o_proj.weight,o_proj.weight,-0.22657
35,model.language_model.layers.35.mlp.down_proj.weight,down_proj.weight,-0.262299
35,model.language_model.layers.35.self_attn.o_proj.weight,o_proj.weight,-0.276503
36,model.language_model.layers.36.mlp.down_proj.weight,down_proj.weight,-0.188904
36,model.language_model.layers.36.self_attn.o_proj.weight,o_proj.weight,-0.203925
37,model.language_model.layers.37.mlp.down_proj.weight,down_proj.weight,-0.195804
37,model.language_model.layers.37.self_attn.o_proj.weight,o_proj.weight,-0.211426
38,model.language_model.layers.38.mlp.down_proj.weight,down_proj.weight,-0.173769
38,model.language_model.layers.38.self_attn.o_proj.weight,o_proj.weight,0.149961
39,model.language_model.layers.39.mlp.down_proj.weight,down_proj.weight,-0.105711
39,model.language_model.layers.39.self_attn.o_proj.weight,o_proj.weight,0.113328
40,model.language_model.layers.40.mlp.down_proj.weight,down_proj.weight,-0.113128
40,model.language_model.layers.40.self_attn.o_proj.weight,o_proj.weight,0.10493
